filename,w,a,s,d,e,r,shift,ctrl,1,2,3,4,space,mouse_left,mouse_right,mouse_dx,mouse_dy
cusj0k28.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamjvos8.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
ajrt7zgj.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
gr865mok.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
sm2wi4ag.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
eytjp15l.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
j76czwch.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,0
nnl1r0q7.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cgesl07v.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qivqbeos.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44cfm2z4.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6v10lzjs.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
esu7p4vj.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
z2qt7119.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
ui0zkr09.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
f1olw3o2.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
i6g23af3.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jmat59b6.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
7zhd0zb4.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
j5glolye.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
xxeoxtmr.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-4
q01vr2s8.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-7
tuy1jue2.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
hgwvpvau.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
x6f47n92.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2
16bw5pbr.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8ciwvu4s.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2eco8h5h.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
411li7kx.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
a9oxoq11.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
91lb550i.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
m0gnf320.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2qs1iqv0.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
dyxrbujn.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
f0ocdrnz.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ywcky2rb.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2oazzcos.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
a3sqokmt.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zt8s439t.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
zcxz6tia.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c3taha8s.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jnxjn9kw.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gvzlv0b5.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cnv3x1h7.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sk0wwzji.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
oi1v8aga.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
q7h7ucyj.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1
jbfm27ls.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
b44kf6uo.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
qtmwba5z.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
o21ngugg.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d6fxo7va.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e7p2j1s4.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otsc35b9.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab5296ee.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
